Name,Location,Pot Diameter (mm) (Inner Pot),Pot Height (mm) (Inner Pot),RO Water?,Light Requirements,How dry before watering?,Humidity,,3D Outer Pot,Watering,Humidity,Light
Ficus Burgundy (Icus The Ficus),Office_John,N/A,N/A,-,High / Medium,Half Dry,Medium,,,Surface Dry,High,High
Fittonia (Red),Office_John,60,46.5,Prefer,Low,Surface Dry,High,,,Quarter Dry,High (Prefer) / Medium,High / Medium
Fittonia (Green),Office_John,60,46.5,Prefer,Low,Surface Dry,High,,,Half Dry,Medium,Medium
Alocasia (Polly) (African Mask),Office_John,90,80.5,Yes,Medium / Low,Quarter Dry,High,,,3 Quarter Dry,,Medium / Low
Syngonium (Arrowhead),Office_John,101,90,-,Medium,Half Dry,High (Prefer) / Medium,,,Completely Dry,Low,Low
Monstera Adansonii (Holy Plant),Office_John,112.5,94,-,Medium,Half Dry,High (Prefer) / Medium,,,,,
Golden Pothos,Office_John,102,89.5,-,Medium,Half Dry,Medium,,,,,
Pothos (White Stripe),Office_John,91.25,83.5,-,,,,,,,,
String of Tears,Office_John,65,60,-,High,Completely Dry,Low,,,,,
Dracaena Bacularis (Zebra),Office_John,90.5,82.75,Prefer,Medium,Completely Dry,Low,,,,,
Dracaena Angolensis (Round),Office_John,90.5,82.75,Prefer,Medium,Completely Dry,Low,,,,,
String of Pearls,Office_John,90.5,80.5,-,High,Completely Dry,Low,,,,,
Monstera Thai Constellation,Office_John,151,143.5,Yes,Medium,3 Quarter Dry,High (Prefer) / Medium,,,,,
Haworthiopsis Attenuata (Zebra),Office_John,N/A,N/A,,,,,,,,,
Alocasia (Polly) (African Mask),Office_John,101,89.5,Yes,Medium / Low,Quarter Dry,High,,,,,
Alocasia (Odora),Office_John,N/A,N/A,Yes,Medium / Low,Quarter Dry,High (Prefer) / Medium,,,,,
Fittonia (Green),Office_John,91,82.75,Prefer,Low,Surface Dry,High,,,,,
Pilea Involucrata (Friendship Plant),Office_John,91,82.5,Prefer,Medium / Low,Quarter Dry,High,,,,,
Burrows Tail,Work_Bathroom,N/A,N/A,,,,,,,,,
String of Tears,Bedroom_Bath,110,96.5,-,High,Completely Dry,Low,,,,,
Pothos,Upstairs_LivingRoom,83.25,92,-,,,,,,,,
Trandescantia (Purple Heart),Office_Madison,115.25,97.5,-,Medium,Half Dry,Medium,,,,,
Pothos (N'joy),Office_Madison,63.75,59,-,,,,,,,,
Golden Pothos,Office_Madison,75.75,57,-,,,,,,,,
Monstera Thai Constellation,Office_Madison,150,107,Yes,Medium,3 Quarter Dry,High (Prefer) / Medium,,,,,
"African Violet (Purple, white center)",FrontRoom,101.25,90,,,,,,,,,
African Violet (Other),FrontRoom,104,90,,,,,,,,,
Monstera Deliciosa (Monica),FrontRoom,N/A,N/A,,,,,,,,,
Bird of Paradise (Birdo),FrontRoom,N/A,N/A,,,,,,,,,
Yucca Elephantipes (Van),FrontRoom,N/A,N/A,,,,,,,,,
Peace Lily,FrontRoom,N/A,N/A,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
String of Pearls,Downstairs_LivingRoom,64,59,-,High,Completely Dry,Low,,,,,
Pothos (Hanging Down),Downstairs_LivingRoom,150.75,108,-,,,,,,,,
Dragonfruit Cactus,Downstairs_LivingRoom,154,107,,,,,,,,,
Pothos,Downstairs_LivingRoom,150.75,108,-,,,,,,,,
Snake Plant,Downstairs_LivingRoom,150,107,,,,,,,,,
Christmas Cactus,Downstairs_LivingRoom,100,75.5,,,,,,,,,
Orchid,Downstairs_LivingRoom,101.5,89.5,Yes,,,,,,,,
Philodendron (White Princess),Downstairs_LivingRoom,115,108.25,,,,,,,,,
Pothos (N'joy),Downstairs_LivingRoom,152,108,-,,,,,,,,
ZZ Plant,GuestBedroom,114,108,,,,,,,,,
String of Pearls,Kitchen,152.5,120.75,-,High,Completely Dry,Low,,,,,
Air Plant (Red),Kitchen,N/A,N/A,,,,,,,,,
Air Plant (Green),Kitchen,N/A,N/A,,,,,,,,,
Roses,Kitchen,151.25,108,,,,,,,,,
Golden Pothos,Kitchen,111.25,93.25,-,,,,,,,,
Ficus Burgundy,Kitchen,90,80.25,,,,,,,,,
Haworthiopsis Attenuata (Zebra),Kitchen,N/A,N/A,,,,,,,,,
Sedeveria,Kitchen,N/A,N/A,,,,,,,,,
Diffenbachia,,,,-,High / Medium,Half Dry,Medium,,,,,
Diffenbachia,,,,-,High / Medium,Half Dry,Medium,,,,,
Gold Dust Croton,,,,Prefer,High,Quarter Dry,High (Prefer) / Medium,,,,,
Gold Dust Croton,,,,Prefer,High,Quarter Dry,High (Prefer) / Medium,,,,,
Philodendron (Brazil),,,,-,Medium,Half Dry,Medium,,,,,
Philodendron (Brazil),,,,-,Medium,Half Dry,Medium,,,,,
Philodendron (Brazil),,,,-,Medium,Half Dry,Medium,,,,,
